text,Loneliness,Love and Affection,Social Recognition,Self esteem and Belonging,Others,Intensity
大切なペットが亡くなってしまったことがあります。長年一緒に生活してきたパートナーのような存在であり、家族として愛されていたペットがいなくなるという現実に直面することは、非常につらいものでした。,True,1.0,,,,STRONG
昔の悲しい出来事を夢で見て、当時の事が思い出されて悲しさが蘇ってきた。,False,,,,,
外出して食事をするにもお金が無く、好きなものを食べられなく悲しい,False,,,,,
0か月近く前に、家の中で転んで頭部を床に直撃して以来、めまいや頭痛で体調がずっと悪くとても悲しい。,False,,,,,
政治家が自分たちの利権しか考えておらず、悲しい。,False,,,,,
歯槽膿漏で歯が一本抜けてしまった,False,,,,,
旅行先でいろいろ食べたかったのにパンパンで食べられなかった,False,,,,,
貸し農園で栽培していた極早生の玉ねぎが バカ見たいに大収穫ができた,False,,,,,
派遣の仕事に応募したら、0回連続で不採用になったことがとても悲しいです。,False,,,,,
言葉が通じないなと思うと悲しい。,False,,,,,
自動車の燃料計、速度計の針が全く動作しなくなった。,False,,,,,
可愛がっていたペットに死なれたことです。,True,1.0,,,,WEAK
年齢加算ごとに体力が落ちていく,False,,,,,
父に無意味に怒鳴られたこと,True,1.0,,,,WEAK
娘が嘘をついて旅行を計画していたこと,False,,,,,
母親が私を無視するようになった,True,1.0,,,,WEAK
休みなのに風邪をひいて悲しかった,False,,,,,
gwどこも外出しなかった,False,,,,,
高齢者の自動車事故による若者の死亡,False,,,,,
希望日に病院の予約が取れない,False,,,,,
友人が地方へ転勤になり、一緒に飲みに行けなくなってしまったこと。,True,1.0,,,,WEAK
家族がいなくなり一人暮らしになってしまったことです。,True,1.0,,,,WEAK
子どもに話をするとうるさいと言われた。,True,1.0,,,,WEAK
仕事のストレスから家族に当たることが多くなり申し訳なく悲しい気持ちになります。,False,,,,,
買い物がうまくいかない,False,,,,,
奈良公園の赤ちゃん鹿が、人間が触ったことによって母親から育児放棄されて、孤独に生活していたものの0ヶ月だ亡くなったニュースを読んだ時,False,,,,,
子供から、パパ大嫌いと言われて悲しかった,True,1.0,,,,WEAK
いつもかわいがっていた 近所の地域猫の姿が 0週間ほど見かけなくなった,True,1.0,,,,WEAK
有名人、著名人、個人的にファンだった方の死去。,True,1.0,,,,WEAK
昔は少しダイエットをすれば体重はすぐ減ったのに全然減らなくて悲しい,False,,,,,
日本における投票率が下がっていて悲しい,False,,,,,
実家の柴犬が死んでしまった,True,1.0,,,,WEAK
梅の木の花が咲かなかったので悲しい,False,,,,,
知人がガンにかかり、余命0年と宣告されたこと。,True,1.0,,,,WEAK
長らく付き合いがあって、仲良くしていた友人が、冠動脈置換手術によって、弱ってしまって出かけられなくなった。,True,1.0,,,,WEAK
好きな舞台の公演チケットが取れない。,False,,,,,
ゴールデンウィークが終わってしまった,False,,,,,
自販機の下に小銭を落として行方不明になった。,False,,,,,
体脂肪がなかなか減らない,False,,,,,
言葉を尽くしてもなかなか気持ちが伝わらなくて悲しかった。,True,,,1.0,,WEAK
ヤフオクで落札出来なかった,False,,,,,
友人に飲み会誘ってもらえなかった,True,1.0,,1.0,,WEAK
lineのパスワードを入力してなくて、間違ってアンインストールしてしまい、復活できなかった。ラインポイント0円分パアッになった。,False,,,,,
足を痛めて動けなくなったこと,False,,,,,
オークションで想定した金額で落札できなかった,False,,,,,
0年間飼っていた愛犬が他界,True,1.0,,,,WEAK
自転車がパンクしてしまった,False,,,,,
子供の体調が悪く、検査をしたら入院することになり、心配で悲しいです。,False,,,,,
大好きなラベンダーを手に入れ毎日世話をしていたが、ふとした拍子に綺麗に咲いている花の茎を折ってしまい、それが分かった瞬間悲しくなった。,False,,,,,
0年前に父が0歳で亡くなった。,True,1.0,,,,WEAK
楽しい場所が無くなった,False,,,,,
 父がなくなったことです。いろいろな思い出を残してくれたので、もう四十九日は過ぎましたが、しばらく頭の整理ができませんでした。まだ近くいる気がします。,True,1.0,,,,STRONG
新しく購入した傘を無くした,False,,,,,
家族の体調が悪くなったこと,False,,,,,
孫が遊びにきたのは良いが、ミニカーで遊んでいて液晶テレビの画面にぶつけて割ってしまい、修理見積をしてもらうと0万円ぐらいだと言われた,False,,,,,
ニンテンドー0dsのeshop閉鎖,False,,,,,
職場での人間関係の悪化,True,,1.0,1.0,,WEAK
飼っていてペットが亡くなったこと,True,1.0,,,,WEAK
